日期,Total_OI,開盤價,最高價,最低價,收盤價,結算價,Inst_Net_OI,Retail_Net_OI,Retail_Ratio
2026/01/15,77126.0,30834,31055,30745,31055,31050,11621,-11621,-0.15067551798355938
2026/01/16,73368.0,31380,31534,31158,31475,31476,20386,-20386,-0.27785955730018536
2026/01/19,79576.0,31250,31774,31208,31673,31672,20889,-20889,-0.26250376998089875
2026/01/20,79267.0,31505,31740,31328,31672,31668,18281,-18281,-0.23062560712528543
2026/01/21,59648.0,31300,31650,31200,31246,0,3687,-3687,-0.061812634120171676
2026/01/22,49934.0,31878,32054,31784,31863,31863,15070,-15070,-0.3017983738534866
2026/01/23,53430.0,31997,32165,31872,32152,32159,19475,-19475,-0.3644956017218791
2026/01/26,53028.0,32153,32232,32088,32144,32150,13165,-13165,-0.24826506751150335
2026/01/27,57542.0,32314,32531,32208,32508,32505,22071,-22071,-0.3835633102777102
2026/01/28,57020.0,32761,32938,32668,32924,32925,17744,-17744,-0.31118905647141354
2026/01/29,53685.0,33016,33016,32588,32776,32774,-2710,2710,0.050479649809071436
2026/01/30,50482.0,32450,32526,32092,32253,32252,-10809,10809,0.2141159225070322
2026/02/02,53617.0,31898,31963,31393,31610,31616,-15346,15346,0.2862151929425369
2026/02/03,48482.0,32359,32444,32003,32266,32284,-5712,5712,0.11781692174415247
2026/02/04,48724.0,32104,32475,32034,32420,32416,-1992,1992,0.040883342911091046
2026/02/05,56242.0,31970,32165,31800,31910,31902,-18236,18236,0.32424166992638953
2026/02/06,53173.0,31488,31883,31222,31803,31789,-9255,9255,0.1740545013446674
2026/02/09,49801.0,32856,32856,32514,32656,32650,5471,-5471,-0.10985723178249433
2026/02/10,51099.0,32900,33310,32881,33309,33303,14018,-14018,-0.27433022172645255
2026/02/11,46913.0,33350,33844,33273,33699,33686,10400,-10400,-0.22168695244388548
2026/02/23,40200.0,34141,34355,33836,33841,0,-217,217,0.005398009950248756
2026/02/24,46090.0,34100,34955,34100,34835,34837,14917,-14917,-0.3236493816446084
2026/02/25,45070.0,35266,35775,35064,35493,35489,6872,-6872,-0.15247392944308852
2026/02/26,45638.0,35532,35756,35350,35608,35611,6344,-6344,-0.13900696787764583
2026/03/02,55590.0,34732,35496,34701,35239,35238,-6891,6891,0.12396114409066379
2026/03/03,68414.0,35029,35319,34314,34332,34331,-27137,27137,0.39665857865349197
2026/03/04,75909.0,33445,33666,32680,32827,32871,-41082,41082,0.5412006481444888
2026/03/05,65851.0,33900,34293,33391,33641,33666,-22839,22839,0.3468284460372659
2026/03/06,68658.0,33343,33888,33294,33710,33703,-21811,21811,0.31767601736141454
2026/03/09,78866.0,31702,32110,31123,31779,31902,-33465,33465,0.42432734004513983
2026/03/10,79425.0,33240,33332,32375,32698,32717,-21955,21955,0.2764242996537614
2026/03/11,78678.0,33330,34184,33277,33985,34004,-4036,4036,0.05129769439995933
2026/03/12,82241.0,33668,33938,33328,33530,33512,-24646,24646,0.29968020816867497
2026/03/13,87128.0,32658,33513,32653,33319,33304,-19026,19026,0.21836837755945276
2026/03/16,82326.0,33371,33722,33076,33263,33264,-20210,20210,0.24548745232368874
2026/03/17,79609.0,33621,34016,33595,33802,33801,-6513,6513,0.0818123578992325
2026/03/18,63730.0,34250,34440,34100,34266,0,-1283,1283,0.020131806056802135
2026/03/19,60461.0,33888,34083,33541,33542,33559,-35868,35868,0.5932419245464018
2026/03/20,54582.0,33785,33886,33394,33557,33559,-22863,22863,0.4188743541826976
2026/03/23,69475.0,32549,32887,32215,32527,32559,-35105,35105,0.5052896725440806
2026/03/24,60246.0,33337,33395,32336,32783,32781,-27627,27627,0.45856986355940643
2026/03/25,56594.0,33770,33870,33444,33634,33623,-18377,18377,0.3247164010319115
2026/03/26,59641.0,33845,34023,33350,33452,33441,-21584,21584,0.3618986938515451
2026/03/27,66980.0,32788,33240,32664,33138,33126,-31471,31471,0.4698566736339206
2026/03/30,72582.0,32053,32711,32028,32473,32480,-32600,32600,0.44914717147502137
2026/03/31,79812.0,32000,32447,31803,31959,31954,-43983,43983,0.5510825439783491
2026/04/01,72371.0,33011,33410,32909,33399,33389,-6552,6552,0.0905335009879648
2026/04/02,81805.0,33680,33690,32498,32501,32505,-35297,35297,0.4314772935639631
2026/04/07,71994.0,33133,33374,32957,33166,33177,-15331,15331,0.21294830124732617
2026/04/08,72145.0,34600,35062,34476,35002,35016,1464,-1464,-0.020292466560399194
2026/04/09,71129.0,35097,35140,34747,34922,34924,-14904,14904,0.20953478890466617
2026/04/10,64068.0,35240,35577,35215,35567,35569,9844,-9844,-0.153649247674346
2026/04/13,61883.0,35308,35652,35185,35454,35460,8057,-8057,-0.13019730782282696
2026/04/14,69637.0,36050,36430,35990,36371,36377,19952,-19952,-0.28651435300199607
2026/04/15,59575.0,36730,37067,36618,36645,0,1659,-1659,-0.027847251363827107
2026/04/16,48114.0,37308,37665,37104,37648,37649,2944,-2944,-0.061188011805295754
2026/04/17,50000.0,37200,37388,37033,37081,37078,-8418,8418,0.16836
2026/04/20,48978.0,37385,37705,37212,37258,37240,-6562,6562,0.13397852096859814
2026/04/21,52209.0,37700,38159,37651,38046,38048,7623,-7623,-0.14600930873987245
2026/04/22,49851.0,38125,38368,37925,38205,38216,2836,-2836,-0.05688953080178933
2026/04/23,48147.0,38709,39082,37410,37884,37851,-859,859,0.017841194674642243
2026/04/24,60027.0,38271,39242,38250,39218,39222,21646,-21646,-0.3606043946890566
2026/04/27,54524.0,39990,40445,39838,39900,39921,11417,-11417,-0.20939402831780501
2026/04/28,53062.0,39796,40344,39660,39736,39733,6590,-6590,-0.12419433869812672
2026/04/29,51125.0,39660,39784,39126,39482,39479,-4678,4678,0.09150122249388754
2026/04/30,50760.0,39600,39938,39266,39359,39342,-4687,4687,0.0923364854215918
